.START
..device	value	footprint	quantity	refdes
AP2120N-3.3TRG1	3v3	SOT23-123.fp	1	U1
CAPACITOR	20 pF	0805.fp	2	C6 C7
CAPACITOR	4.7 uF	unknown	1	C2
CAPACITOR	9 pF	0805.fp	2	C8 C9
CAPACITOR	unknown	1206.fp	2	C3 C5
CAPACITOR	unknown	unknown	2	C1 C4
COIL	unknown	unknown	1	L3
CRYSTAL	12MHz	1812.fp	1	X1
CRYSTAL	32.78	2412.fp	1	X2
MF-CAP-0603-0.1uF	0.1 uF	chip_1608_0603_N.fp	1	C10
MF-CAP-0603-1uF	1 uF	chip_1608_0603_N.fp	2	C11 C12
microUSB_AB_antek	unknown	microUSB_AB_1.fp	1	J2
RESISTOR	100K	unknown	1	R5
RESISTOR	22	0805_HV.fp	2	R6 R7
stm32f401cb	unknown	UFQFPN48.fp	1	U2
SWITCH_PUSHBUTTON_NO	unknown	unknown	2	S1 S2
zif_connector	unknown	ffc_zif_20.fp	1	J1
.END
